name,phone,address
Three Jewels,(646) 964-5736,5 E 3rd St New York
Sky Ting Yoga,(212) 203-5786,17 Allen Fl 7 New York
Tangerine,(718) 855-8622,225 Schermerhorn St Brooklyn
Abhaya Yoga,(718) 682-3182,32 Pearl St Brooklyn
Stanton Street Yoga,(787) 396-2092,196A Stanton St New York
Brooklyn Yoga Project,(917) 909-0412,185 Sackett St Carroll Gardens
Heatwise,(347) 763-0029,163 Remsen St Fl 2 Brooklyn
Modo Yoga NYC,(212) 780-9642,434 6th Ave Fl 2 New York
Lyons Den Power Yoga,(646) 490-8888,279 Church St Fl 2 New York
Fierce Grace NYC,(212) 353-8859,172 Allen St Fl 2 New York
Sonic Yoga,(212) 397-6344,944 8th Ave Fl 2 New York
Modo Yoga NYC – Williamsburg,(347) 889-7248,109 Metropolitan Ave Brooklyn
VERAYOGA,(917) 470-9599,406 Broadway 3rd Fl 3 New York
Yogamaya,(212) 675-4555,135 W 20th St Fl 6 New York
Yoga Vida – NoHo,(212) 845-9973,666 Broadway Fl 3 New York
The Yoga Room,(718) 786-7962,1014 47th Rd Long Island City
The Bhakti Center,(212) 533-4842,25 1st Ave New York
Humming Puppy,(212) 414-0800,119 W 23rd St Level 2
Move With Grace,(718) 230-0013,431 Myrtle Ave Brooklyn
Illumina East,(646) 851-0355,96 Ave B New York
Prema Yoga Brooklyn,(718) 237-2373,498 Court St Brooklyn
New Love City,(616) 915-4576,68 Greenpoint Ave Fl 4 Brooklyn
AtthenaYoga,(856) 840-9436,43 W 46th St Fl 4 New York
YvaYoga,(718) 407-4761,285 Willoughby Ave Fl 2 Brooklyn
Bowery Yoga,(917) 885-0278,302 Bowery Fl 3 New York
Reflections Center for Conscious Living and Yoga,(212) 974-2288,227 E 24th St New York
The Class by Taryn Toomey,(646) 850-0937,22 Park Pl Fl 3 New York
Warrior Bridge,(917) 262-0863,250 Front St Ground Fl New York
Goodtimes Yoga,(718) 865-8250,97 N 10th St Brooklyn
Now Yoga,(646) 596-7772,61 4th Ave Fl 3 New York
Amayasana Yoga,(516) 477-2904,269 Stuyvesant Ave Brooklyn
Kula Yoga Project Williamsburg,(347) 463-9886,85 N 3rd St Brooklyn
Kula Yoga Soho,(917) 472-7499,481 Broadway Fl 3 New York
Loom Yoga Williamsburg,(646) 504-0121,783 Driggs Ave Brooklyn
All Yoga,(718) 666-8079,780 Woodward Ave Queens
Sacred Studio,(347) 715-4112,197 Clifton Pl Brooklyn
RA MA Yoga Institute,(917) 261-6228,125 Stanton St New York
Daya Yoga Studio,(718) 406-7912,360 Jefferson St Bushwick
Lighthouse Yoga School,(917) 821-8929,202 Grand St Williamsburg
Breath and Bones,(917) 478-1799,160 Allen St Ste 1 New York
Rika Henry Yoga,(312) 753-9491,Peck Slip
Harlem Yoga Studio,(917) 538-0457,44 W 125th St Fl 3 New York
Brahman Yoga Harlem,(914) 996-7071,501 W 145th St Fl 3 New York
2nd Story Pilates and Yoga,(347) 642-9456,81-10 37th Ave Jackson Heights
YogaCare,(212) 964-6411,121 Fulton St Fl 3 New York
Align Brooklyn,(718) 788-3940,579 5th Ave Fl 2 Brooklyn
Upper West Side Yoga and Wellness,(212) 595-2221,75B W 85th St New York
Mang’Oh Yoga,(212) 661-6655,322 E 39th St New York
Urban Asanas,(347) 305-3558,843 Sterling Pl Fl 2 Brooklyn
Asana Soul Practice – Jersey City Studio,(201) 656-2612,124 First St Jersey City
Yoga Union,(212) 510-7404,37 W 28th St Fl 4 New York
Lucent Yoga,(718) 383-1750,172 Norman Ave Brooklyn
Integral Yoga Institute,(212) 929-0585,227 W 13th St New York
Yoga Connection,(646) 836-9642,New York
WOOM Center,(646) 678-5092,274 Bowery Fl 2 New York
One Yoga For All,(646) 598-6093,3264 Johnson Ave Bronx
YO BK,(917) 740-7106,20 Broadway Unit 108 Brooklyn
SKY TING YOGA – Domino,(212) 203-5786,43 S 4th St Brooklyn
Jaya Yoga Center,(718) 788-8788,1626 8th Ave Brooklyn
Lyons Den Power Yoga,(646) 964-4583,267 W 17th St Fl 2 New York
unit 108 yoga,(347) 889-5093,760 5th Ave Fl 2 Brooklyn
Surf Yoga Beer,(213) 590-3279,135 Madison Ave Fl 5 New York
Neo Tantra Sacred Orgasm,(917) 727-8327,303 Fifth Ave Manhattan
YogaSpark Tribeca,(212) 602-9961,158 Duane St New York
Rockaway Love,(718) 634-7777,90-16 Rockaway Beach Blvd Queens
Yoga Hell Brooklyn,(646) 866-4474,2579 East 17 St Fl 4 Brooklyn
Dou Yoga,(718) 638-1569,281 Greene Ave Fl 1 Brooklyn
Veroyoganyc,(646) 391-3266,208 Midwood St Brooklyn
Suryaside,(718) 898-9642,49-06 Skillman Ave Woodside
Earth Yoga NYC,(646) 726-4710,328 E 61st St Fl 1 New York
Yoga Agora,(718) 626-0680,33-02 Broadway Fl 2 Astoria
